State,Course,College,Fees,Rating,Hostel,Scholarship,Program Offered,College Type,Branch Available,Min Marks,Website
Maharashtra,Engineering,IIT Bombay,200000,5,Yes,Yes,B.Tech,Government,,86,https://www.iitb.ac.in
Maharashtra,Medical,AFMC Pune,50000,4.5,Yes,Yes,B.pharma,Government,,87,https://afmc.nic.in
Maharashtra,Management,SPJIMR Mumbai,250000,4.8,Yes,Yes,BBA,Government,,84,https://www.spjimr.org
Maharashtra,Arts,Fergusson College Pune,40000,4.2,Yes,No,B.A.,Government,,69,https://www.fergusson.edu
Karnataka,Engineering,IIT Bangalore,250000,5,Yes,Yes,B.Tech,Government,,88,https://www.iisc.ac.in
Karnataka,Medical,KMC Manipal,300000,4.8,Yes,Yes,B.pharma,Government,,79,https://manipal.edu/kmc-manipal.html
Karnataka,Management,IIM Bangalore,400000,5,Yes,Yes,BBA,Government,,84,https://www.iimb.ac.in
Karnataka,Arts,Christ University,150000,4.5,Yes,Yes,B.A.,Government,,86,https://christuniversity.in
Delhi,Engineering,Delhi Technological University,150000,4.7,Yes,Yes,B.Tech,Private,,82,https://www.dtu.ac.in
Delhi,Medical,AIIMS Delhi,50000,5,Yes,Yes,B.pharma,Government,,89,https://www.aiims.edu
Delhi,Management,FMS Delhi,200000,4.9,No,Yes,BBA,Government,,84,https://www.fms.edu
Delhi,Law,NLU Delhi,150000,4.8,Yes,Yes,LLB,Government,,86,https://nludelhi.ac.in
West Bengal,Engineering,IIT Kharagpur,220000,5,Yes,Yes,B.Tech,Government,,62,https://www.iitkgp.ac.in
West Bengal,Medical,RG Kar Medical College,80000,4.2,Yes,No,B.pharma,Government,,87,https://rggmch.org
West Bengal,Management,IIM Calcutta,500000,5,Yes,Yes,BBA,Government,,65,https://www.iimcal.ac.in
West Bengal,Arts,Jadavpur University,50000,4.6,No,Yes,B.A.,Government,,65,https://www.jaduniv.edu.in
Tamil Nadu,Engineering,IIT Madras,250000,5,Yes,Yes,B.Tech,Government,,63,https://www.iitm.ac.in
Tamil Nadu,Medical,CMC Vellore,300000,4.9,Yes,Yes,B.pharma,Government,,87,https://www.cmch-vellore.edu
Tamil Nadu,Management,IIM Trichy,450000,4.7,Yes,Yes,BBA,Government,,85,https://www.iimtrichy.ac.in
Tamil Nadu,Arts,Loyola College Chennai,60000,4.8,Yes,No,B.A.,Government,,84,https://www.loyolacollege.edu
Rajasthan,Engineering,Malaviya National Institute of Technology Jaipur,150000,4.6,Yes,Yes,B.Tech,Government,,86,https://www.mnit.ac.in
Rajasthan,Medical,SMS Medical College,75000,4.3,Yes,No,B.pharma,Government,,84,https://education.rajasthan.gov.in/smsmc
Rajasthan,Management,IIM Udaipur,400000,4.6,Yes,Yes,BBA,Government,,55,https://www.iimu.ac.in
Rajasthan,Law,NLU Jodhpur,200000,4.5,Yes,Yes,LLB,Government,,56,https://www.nlujodhpur.ac.in
Uttar Pradesh,Engineering,IIT Kanpur,200000,5,Yes,Yes,B.Tech,Government,,87,https://www.iitk.ac.in
Uttar Pradesh,Medical,KGMC Lucknow,90000,4.4,Yes,Yes,MBBS,Private,,85,https://www.kgmu.org
Uttar Pradesh,Management,IIM Lucknow,450000,4.8,Yes,Yes,BBA,Government,,48,https://www.iiml.ac.in
Uttar Pradesh,Arts,BHU Varanasi,40000,4.7,Yes,Yes,B.A.,Government,,88,https://www.bhu.ac.in
Gujarat,Engineering,IIT Gandhinagar,210000,5,Yes,Yes,B.Tech,Government,,84,https://www.iitgn.ac.in
